x	y	showSelected1
11.37	1	1
11.7	1	1
11.75	1	1
11.76	1	1
11.28	1	2
11.47	1	2
11.51	1	2
11.59	2	2
11.62	1	2
11.63	1	2
11.64	1	2
11.76	1	2
11.27	1	3
11.35	1	3
11.48	2	3
11.54	1	3
11.76	1	3
11.79	1	3
11.25	1	4
11.28	1	4
11.43	1	4
11.47	1	4
11.51	1	4
11.7	1	4
11.74	2	4
11.77	1	4
11.79	1	4
11.2	2	5
11.32	1	5
11.43	1	5
11.61	1	5
11.64	1	5
11.69	1	5
11.7	1	5
11.74	1	5
11.22	1	6
11.43	1	6
11.46	2	6
11.57	2	6
11.58	1	6
11.73	1	6
11.77	1	6
11.78	2	6
11.22	1	7
11.3	1	7
11.36	1	7
11.4	1	7
11.41	1	7
11.44	1	7
11.61	1	7
11.65	1	7
11.67	1	7
11.31	1	8
11.36	1	8
11.51	1	8
11.54	1	8
11.61	1	8
11.66	1	8
11.7	1	8
11.71	1	8
11.79	1	8
11.23	1	9
11.28	1	9
11.33	1	9
11.34	1	9
11.49	1	9
11.62	1	9
11.2	1	10
11.32	1	10
11.43	1	10
11.51	1	10
11.63	1	10
11.2	1	11
11.25	1	11
11.29	1	11
11.34	1	11
11.42	1	11
11.54	1	11
11.55	1	11
11.59	1	11
11.67	1	11
11.2	1	12
11.25	1	12
11.33	1	12
11.38	1	12
11.4	1	12
11.51	1	12
11.6	1	12
11.64	1	12
11.65	1	12
11.76	2	12
11.33	2	13
11.43	1	13
11.57	1	13
11.58	1	13
11.77	1	13
11.78	1	13
11.2	1	14
11.52	1	14
11.57	1	14
11.64	2	14
11.7	1	14
11.47	1	15
11.52	1	15
11.65	1	15
11.2	1	16
11.41	1	16
11.52	1	16
11.57	1	16
11.41	1	17
11.44	1	17
11.45	1	17
11.54	1	17
11.55	1	17
11.63	1	17
11.7	1	17
11.34	1	18
11.75	1	18
11.78	1	18
11.55	1	19
11.56	1	19
11.58	1	19
11.63	1	19
11.71	1	19
11.74	1	19
11.76	1	19
11.27	1	20
11.69	1	20
11.25	1	21
11.29	1	21
11.48	1	21
11.57	1	21
11.64	1	21
11.66	1	21
11.67	1	21
11.29	1	22
11.3	1	22
11.38	1	22
11.69	1	22
11.77	1	22
11.22	1	23
11.28	1	23
11.31	1	23
11.39	1	23
11.44	1	23
11.53	1	23
11.61	2	23
11.63	1	23
11.67	2	23
11.76	1	23
11.27	1	24
11.31	2	24
11.32	1	24
11.39	1	24
11.45	1	24
11.47	1	24
11.52	1	24
11.56	1	24
11.64	1	24
11.28	1	25
11.45	1	25
11.46	1	25
11.49	1	25
11.56	1	25
11.66	1	25
11.68	1	25
11.69	1	25
11.75	1	25
11.36	1	26
11.39	1	26
11.65	2	26
11.72	1	26
11.75	1	26
11.23	1	27
11.24	1	27
11.28	3	27
11.32	1	27
11.37	1	27
11.52	1	27
11.67	1	27
11.68	1	27
11.27	1	28
11.64	1	28
11.65	1	28
